feature_index,coefficient,abs_coefficient
10,-1.11546651549844,1.11546651549844
21,-1.108038614137919,1.108038614137919
27,-1.028598240076447,1.028598240076447
20,-0.9939503559079296,0.9939503559079296
23,-0.9858290644864585,0.9858290644864585
13,-0.8735873484477585,0.8735873484477585
26,-0.8061109663824909,0.8061109663824909
28,-0.8051145742796469,0.8051145742796469
22,-0.7958842004510581,0.7958842004510581
7,-0.6295032416239862,0.6295032416239862
5,0.6217923066474356,0.6217923066474356
15,0.5825973755788025,0.5825973755788025
12,-0.5492341174703427,0.5492341174703427
3,-0.5288764777606779,0.5288764777606779
1,-0.5033533342581867,0.5033533342581867
17,-0.47752075443898606,0.47752075443898606
0,-0.4614322086405535,0.4614322086405535
18,0.4523124991213832,0.4523124991213832
19,0.4261102217387516,0.4261102217387516
6,-0.42550019712634596,0.42550019712634596
2,-0.41508698060061194,0.41508698060061194
24,-0.35825016836908685,0.35825016836908685
4,-0.3415968308814966,0.3415968308814966
8,-0.2632004768484883,0.2632004768484883
16,0.2099276671179604,0.2099276671179604
9,0.14295574043889264,0.14295574043889264
29,-0.1163524349329548,0.1163524349329548
11,-0.07969491599616983,0.07969491599616983
25,-0.0758990899027675,0.0758990899027675
14,-0.03674734334061615,0.03674734334061615
